sample_index,real_time_s,raw_adc,amplitude
0,20:37:38.976,3860,0.8852
1,20:37:38.977,3875,0.8926
2,20:37:38.977,3866,0.8882
3,20:37:38.978,3865,0.8877
4,20:37:38.978,3871,0.8906
5,20:37:38.979,3885,0.8974
6,20:37:38.979,3888,0.8989
7,20:37:38.980,3886,0.8979
8,20:37:38.980,3898,0.9038
9,20:37:38.981,3868,0.8891
10,20:37:38.981,3867,0.8886
11,20:37:38.982,3876,0.8930
12,20:37:38.982,3866,0.8882
13,20:37:38.983,3888,0.8989
14,20:37:38.983,3875,0.8926
15,20:37:38.984,3853,0.8818
16,20:37:38.984,3859,0.8847
17,20:37:38.985,3852,0.8813
18,20:37:38.985,3857,0.8838
19,20:37:38.986,3852,0.8813
20,20:37:38.986,3848,0.8794
21,20:37:38.987,3845,0.8779
22,20:37:38.987,3836,0.8735
23,20:37:38.988,3841,0.8759
24,20:37:38.988,3793,0.8525
25,20:37:38.989,3830,0.8706
26,20:37:38.989,3820,0.8657
27,20:37:38.990,3849,0.8799
28,20:37:38.990,3820,0.8657
29,20:37:38.991,3761,0.8369
30,20:37:38.991,3847,0.8789
31,20:37:38.992,3852,0.8813
32,20:37:38.992,3850,0.8803
33,20:37:38.993,3816,0.8637
34,20:37:38.993,3770,0.8413
35,20:37:38.994,3827,0.8691
36,20:37:38.994,3749,0.8310
37,20:37:38.995,3679,0.7968
38,20:37:38.995,4095,1.0000
39,20:37:38.996,4095,1.0000
40,20:37:38.996,4093,0.9990
41,20:37:38.997,4092,0.9985
42,20:37:38.997,4091,0.9980
43,20:37:38.998,4093,0.9990
44,20:37:38.998,4094,0.9995
45,20:37:38.999,4094,0.9995
46,20:37:38.999,4092,0.9985
47,20:37:39.000,4095,1.0000
48,20:37:39.000,4092,0.9985
49,20:37:39.001,4090,0.9976
50,20:37:39.001,4095,1.0000
51,20:37:39.002,4090,0.9976
52,20:37:39.002,4094,0.9995
53,20:37:39.003,4095,1.0000
54,20:37:39.003,4085,0.9951
55,20:37:39.004,4095,1.0000
56,20:37:39.004,4085,0.9951
57,20:37:39.005,4095,1.0000
58,20:37:39.005,4094,0.9995
59,20:37:39.006,4095,1.0000
