sample_index,real_time_s,raw_adc,amplitude
0,20:19:32.278,3776,0.8442
1,20:19:32.278,3816,0.8637
2,20:19:32.279,3725,0.8193
3,20:19:32.279,3798,0.8549
4,20:19:32.280,3811,0.8613
5,20:19:32.280,3816,0.8637
6,20:19:32.281,3792,0.8520
7,20:19:32.281,3788,0.8501
8,20:19:32.282,3815,0.8632
9,20:19:32.282,3830,0.8706
10,20:19:32.283,3814,0.8628
11,20:19:32.283,3822,0.8667
12,20:19:32.284,3809,0.8603
13,20:19:32.284,3814,0.8628
14,20:19:32.285,3818,0.8647
15,20:19:32.285,3822,0.8667
16,20:19:32.286,3814,0.8628
17,20:19:32.286,3815,0.8632
18,20:19:32.287,3823,0.8672
19,20:19:32.287,3851,0.8808
20,20:19:32.288,3810,0.8608
21,20:19:32.288,3783,0.8476
22,20:19:32.289,3812,0.8618
23,20:19:32.289,3788,0.8501
24,20:19:32.290,3781,0.8466
25,20:19:32.290,3777,0.8447
26,20:19:32.291,3780,0.8462
27,20:19:32.291,3818,0.8647
28,20:19:32.292,3771,0.8418
29,20:19:32.292,3768,0.8403
30,20:19:32.293,3762,0.8374
31,20:19:32.293,3778,0.8452
32,20:19:32.294,3759,0.8359
33,20:19:32.294,3765,0.8388
34,20:19:32.295,3776,0.8442
35,20:19:32.295,3792,0.8520
36,20:19:32.296,3738,0.8256
37,20:19:32.296,3777,0.8447
38,20:19:32.297,3775,0.8437
39,20:19:32.297,3791,0.8515
40,20:19:32.298,3792,0.8520
41,20:19:32.298,3755,0.8339
42,20:19:32.299,3811,0.8613
43,20:19:32.299,3787,0.8496
44,20:19:32.300,3795,0.8535
45,20:19:32.300,3777,0.8447
46,20:19:32.301,3806,0.8589
47,20:19:32.301,3801,0.8564
48,20:19:32.302,3795,0.8535
49,20:19:32.302,3830,0.8706
50,20:19:32.303,3800,0.8559
51,20:19:32.303,3810,0.8608
52,20:19:32.304,3816,0.8637
53,20:19:32.304,3805,0.8584
54,20:19:32.305,3811,0.8613
55,20:19:32.305,3804,0.8579
56,20:19:32.306,3816,0.8637
57,20:19:32.306,3794,0.8530
58,20:19:32.307,3826,0.8686
59,20:19:32.307,3842,0.8764
60,20:19:32.308,3810,0.8608
61,20:19:32.308,3791,0.8515
62,20:19:32.309,3782,0.8471
63,20:19:32.309,3772,0.8422
64,20:19:32.310,3797,0.8545
65,20:19:32.310,3780,0.8462
66,20:19:32.311,3805,0.8584
67,20:19:32.311,3788,0.8501
68,20:19:32.312,3818,0.8647
69,20:19:32.312,3772,0.8422
70,20:19:32.313,3761,0.8369
71,20:19:32.313,3772,0.8422
72,20:19:32.314,3777,0.8447
73,20:19:32.314,3778,0.8452
74,20:19:32.315,3762,0.8374
75,20:19:32.315,3734,0.8237
76,20:19:32.316,3767,0.8398
77,20:19:32.316,3772,0.8422
78,20:19:32.317,3791,0.8515
79,20:19:32.317,3779,0.8457
80,20:19:32.318,3745,0.8291
81,20:19:32.318,3796,0.8540
82,20:19:32.319,3779,0.8457
83,20:19:32.319,3785,0.8486
84,20:19:32.320,3808,0.8598
85,20:19:32.320,3820,0.8657
86,20:19:32.321,3803,0.8574
87,20:19:32.321,3797,0.8545
88,20:19:32.322,3804,0.8579
89,20:19:32.322,3833,0.8720
90,20:19:32.323,3824,0.8676
91,20:19:32.323,3825,0.8681
92,20:19:32.324,3832,0.8716
93,20:19:32.324,3826,0.8686
94,20:19:32.325,3834,0.8725
95,20:19:32.325,3820,0.8657
96,20:19:32.326,3817,0.8642
97,20:19:32.326,3842,0.8764
98,20:19:32.327,3804,0.8579
99,20:19:32.327,3809,0.8603
100,20:19:32.328,3808,0.8598
101,20:19:32.328,3859,0.8847
102,20:19:32.329,3788,0.8501
103,20:19:32.329,3783,0.8476
104,20:19:32.330,3793,0.8525
105,20:19:32.330,3795,0.8535
106,20:19:32.331,3807,0.8593
107,20:19:32.331,3809,0.8603
108,20:19:32.332,3798,0.8549
109,20:19:32.332,3773,0.8427
110,20:19:32.333,3766,0.8393
111,20:19:32.333,3788,0.8501
112,20:19:32.334,3772,0.8422
113,20:19:32.334,3776,0.8442
114,20:19:32.335,3764,0.8383
115,20:19:32.335,3787,0.8496
116,20:19:32.336,3786,0.8491
117,20:19:32.336,3769,0.8408
118,20:19:32.337,3764,0.8383
119,20:19:32.337,3796,0.8540
120,20:19:32.338,3786,0.8491
121,20:19:32.338,3779,0.8457
122,20:19:32.339,3815,0.8632
123,20:19:32.339,3786,0.8491
124,20:19:32.340,3797,0.8545
125,20:19:32.340,3892,0.9009
126,20:19:32.341,3807,0.8593
127,20:19:32.341,3760,0.8364
128,20:19:32.342,3783,0.8476
129,20:19:32.342,3858,0.8842
130,20:19:32.343,3828,0.8696
131,20:19:32.343,3808,0.8598
132,20:19:32.344,3816,0.8637
133,20:19:32.344,3818,0.8647
134,20:19:32.345,3841,0.8759
135,20:19:32.345,3815,0.8632
136,20:19:32.346,3849,0.8799
137,20:19:32.346,3842,0.8764
138,20:19:32.347,3807,0.8593
139,20:19:32.347,3817,0.8642
140,20:19:32.348,3835,0.8730
141,20:19:32.348,3797,0.8545
142,20:19:32.349,3790,0.8510
143,20:19:32.349,3786,0.8491
144,20:19:32.350,3791,0.8515
145,20:19:32.350,3801,0.8564
146,20:19:32.351,3724,0.8188
147,20:19:32.351,3796,0.8540
148,20:19:32.352,3782,0.8471
149,20:19:32.352,3767,0.8398
150,20:19:32.353,3770,0.8413
151,20:19:32.353,3771,0.8418
152,20:19:32.354,3766,0.8393
153,20:19:32.354,3765,0.8388
154,20:19:32.355,3781,0.8466
155,20:19:32.355,3771,0.8418
156,20:19:32.356,3784,0.8481
157,20:19:32.356,3776,0.8442
158,20:19:32.357,3765,0.8388
159,20:19:32.357,3787,0.8496
160,20:19:32.358,3777,0.8447
161,20:19:32.358,3798,0.8549
162,20:19:32.359,3780,0.8462
163,20:19:32.359,3795,0.8535
164,20:19:32.360,3809,0.8603
165,20:19:32.360,3800,0.8559
166,20:19:32.361,3820,0.8657
167,20:19:32.361,3801,0.8564
168,20:19:32.362,3796,0.8540
169,20:19:32.362,3819,0.8652
170,20:19:32.363,3829,0.8701
171,20:19:32.363,3817,0.8642
172,20:19:32.364,3814,0.8628
173,20:19:32.364,3820,0.8657
174,20:19:32.365,3817,0.8642
175,20:19:32.365,3835,0.8730
176,20:19:32.366,3823,0.8672
177,20:19:32.366,3797,0.8545
178,20:19:32.367,3810,0.8608
179,20:19:32.367,3851,0.8808
180,20:19:32.368,3824,0.8676
181,20:19:32.368,3788,0.8501
182,20:19:32.369,3799,0.8554
183,20:19:32.369,3794,0.8530
184,20:19:32.370,3788,0.8501
185,20:19:32.370,3802,0.8569
186,20:19:32.371,3786,0.8491
187,20:19:32.371,3797,0.8545
188,20:19:32.372,3774,0.8432
189,20:19:32.372,3776,0.8442
190,20:19:32.373,3777,0.8447
191,20:19:32.373,3767,0.8398
192,20:19:32.374,3764,0.8383
193,20:19:32.374,3780,0.8462
194,20:19:32.375,3784,0.8481
195,20:19:32.375,3777,0.8447
196,20:19:32.376,3747,0.8300
197,20:19:32.376,3788,0.8501
198,20:19:32.377,3776,0.8442
199,20:19:32.377,3776,0.8442
200,20:19:32.378,3803,0.8574
201,20:19:32.378,3744,0.8286
202,20:19:32.379,3788,0.8501
203,20:19:32.379,3785,0.8486
204,20:19:32.380,3809,0.8603
205,20:19:32.380,3855,0.8828
206,20:19:32.381,3804,0.8579
207,20:19:32.381,3805,0.8584
208,20:19:32.382,3816,0.8637
209,20:19:32.382,3831,0.8711
210,20:19:32.383,3821,0.8662
211,20:19:32.383,3805,0.8584
212,20:19:32.384,3817,0.8642
213,20:19:32.384,3824,0.8676
214,20:19:32.385,3821,0.8662
215,20:19:32.385,3830,0.8706
216,20:19:32.386,3801,0.8564
217,20:19:32.386,3812,0.8618
218,20:19:32.387,3849,0.8799
219,20:19:32.387,3822,0.8667
220,20:19:32.388,3801,0.8564
221,20:19:32.388,3802,0.8569
222,20:19:32.389,3813,0.8623
223,20:19:32.389,3810,0.8608
224,20:19:32.390,3776,0.8442
225,20:19:32.390,3784,0.8481
226,20:19:32.391,3802,0.8569
227,20:19:32.391,3796,0.8540
228,20:19:32.392,3801,0.8564
229,20:19:32.392,3764,0.8383
230,20:19:32.393,3740,0.8266
231,20:19:32.393,3779,0.8457
232,20:19:32.394,3770,0.8413
233,20:19:32.394,3783,0.8476
234,20:19:32.395,3771,0.8418
235,20:19:32.395,3752,0.8325
236,20:19:32.396,3772,0.8422
237,20:19:32.396,3796,0.8540
238,20:19:32.397,3776,0.8442
239,20:19:32.397,3796,0.8540
240,20:19:32.398,3791,0.8515
241,20:19:32.398,3778,0.8452
242,20:19:32.399,3812,0.8618
243,20:19:32.399,3776,0.8442
244,20:19:32.400,3814,0.8628
245,20:19:32.400,3797,0.8545
246,20:19:32.401,3814,0.8628
247,20:19:32.401,3802,0.8569
248,20:19:32.402,3790,0.8510
249,20:19:32.402,3831,0.8711
250,20:19:32.403,3807,0.8593
251,20:19:32.403,3829,0.8701
252,20:19:32.404,3825,0.8681
253,20:19:32.404,3816,0.8637
254,20:19:32.405,3819,0.8652
255,20:19:32.405,3825,0.8681
256,20:19:32.406,3808,0.8598
257,20:19:32.406,3810,0.8608
258,20:19:32.407,3826,0.8686
259,20:19:32.407,3809,0.8603
260,20:19:32.408,3807,0.8593
261,20:19:32.408,3788,0.8501
262,20:19:32.409,3815,0.8632
263,20:19:32.409,3797,0.8545
264,20:19:32.410,3785,0.8486
265,20:19:32.410,3788,0.8501
266,20:19:32.411,3800,0.8559
267,20:19:32.411,3783,0.8476
268,20:19:32.412,3792,0.8520
269,20:19:32.412,3774,0.8432
270,20:19:32.413,3779,0.8457
271,20:19:32.413,3779,0.8457
272,20:19:32.414,3790,0.8510
273,20:19:32.414,3759,0.8359
274,20:19:32.415,3795,0.8535
275,20:19:32.415,3764,0.8383
276,20:19:32.416,3774,0.8432
277,20:19:32.416,3767,0.8398
278,20:19:32.417,3793,0.8525
279,20:19:32.417,3771,0.8418
280,20:19:32.418,3754,0.8335
281,20:19:32.418,3788,0.8501
282,20:19:32.419,3798,0.8549
283,20:19:32.419,3815,0.8632
284,20:19:32.420,3767,0.8398
285,20:19:32.420,3799,0.8554
286,20:19:32.421,3822,0.8667
287,20:19:32.421,3797,0.8545
288,20:19:32.422,3818,0.8647
289,20:19:32.422,3825,0.8681
290,20:19:32.423,3820,0.8657
291,20:19:32.423,3817,0.8642
292,20:19:32.424,3809,0.8603
293,20:19:32.424,3821,0.8662
294,20:19:32.425,3816,0.8637
295,20:19:32.425,3828,0.8696
296,20:19:32.426,3820,0.8657
297,20:19:32.426,3830,0.8706
298,20:19:32.427,3812,0.8618
299,20:19:32.427,3820,0.8657
300,20:19:32.428,3812,0.8618
301,20:19:32.428,3857,0.8838
302,20:19:32.429,3772,0.8422
303,20:19:32.429,3783,0.8476
304,20:19:32.430,3799,0.8554
305,20:19:32.430,3809,0.8603
306,20:19:32.431,3790,0.8510
307,20:19:32.431,3811,0.8613
308,20:19:32.432,3772,0.8422
309,20:19:32.432,3767,0.8398
310,20:19:32.433,3781,0.8466
311,20:19:32.433,3782,0.8471
312,20:19:32.434,3769,0.8408
313,20:19:32.434,3775,0.8437
314,20:19:32.435,3774,0.8432
315,20:19:32.435,3776,0.8442
316,20:19:32.436,3771,0.8418
317,20:19:32.436,3808,0.8598
318,20:19:32.437,3743,0.8281
319,20:19:32.437,3781,0.8466
320,20:19:32.438,3802,0.8569
321,20:19:32.438,3790,0.8510
322,20:19:32.439,3802,0.8569
323,20:19:32.439,3790,0.8510
324,20:19:32.440,3810,0.8608
325,20:19:32.440,3801,0.8564
326,20:19:32.441,3795,0.8535
327,20:19:32.441,3779,0.8457
328,20:19:32.442,3777,0.8447
329,20:19:32.442,3819,0.8652
330,20:19:32.443,3816,0.8637
331,20:19:32.443,3810,0.8608
332,20:19:32.444,3817,0.8642
333,20:19:32.444,3810,0.8608
334,20:19:32.445,3816,0.8637
335,20:19:32.445,3829,0.8701
336,20:19:32.446,3812,0.8618
337,20:19:32.446,3808,0.8598
338,20:19:32.447,3817,0.8642
339,20:19:32.447,3816,0.8637
340,20:19:32.448,3832,0.8716
341,20:19:32.448,3805,0.8584
342,20:19:32.449,3759,0.8359
343,20:19:32.449,3788,0.8501
344,20:19:32.450,3852,0.8813
345,20:19:32.450,3796,0.8540
346,20:19:32.451,3780,0.8462
347,20:19:32.451,3792,0.8520
348,20:19:32.452,3792,0.8520
349,20:19:32.452,3768,0.8403
350,20:19:32.453,3775,0.8437
351,20:19:32.453,3773,0.8427
352,20:19:32.454,3784,0.8481
353,20:19:32.454,3783,0.8476
354,20:19:32.455,3782,0.8471
355,20:19:32.455,3767,0.8398
356,20:19:32.456,3789,0.8505
357,20:19:32.456,3757,0.8349
358,20:19:32.457,3779,0.8457
359,20:19:32.457,3780,0.8462
360,20:19:32.458,3775,0.8437
361,20:19:32.458,3768,0.8403
362,20:19:32.459,3802,0.8569
363,20:19:32.459,3811,0.8613
364,20:19:32.460,3795,0.8535
365,20:19:32.460,3789,0.8505
366,20:19:32.461,3812,0.8618
367,20:19:32.461,3800,0.8559
368,20:19:32.462,3796,0.8540
369,20:19:32.462,3812,0.8618
370,20:19:32.463,3873,0.8916
371,20:19:32.463,3826,0.8686
372,20:19:32.464,3814,0.8628
373,20:19:32.464,3817,0.8642
374,20:19:32.465,3832,0.8716
375,20:19:32.465,3817,0.8642
376,20:19:32.466,3818,0.8647
377,20:19:32.466,3822,0.8667
378,20:19:32.467,3826,0.8686
379,20:19:32.467,3830,0.8706
380,20:19:32.468,3804,0.8579
381,20:19:32.468,3820,0.8657
382,20:19:32.469,3803,0.8574
383,20:19:32.469,3804,0.8579
384,20:19:32.470,3773,0.8427
385,20:19:32.470,3798,0.8549
386,20:19:32.471,3817,0.8642
387,20:19:32.471,3796,0.8540
388,20:19:32.472,3787,0.8496
389,20:19:32.472,3767,0.8398
390,20:19:32.473,3780,0.8462
391,20:19:32.473,3764,0.8383
392,20:19:32.474,3760,0.8364
393,20:19:32.474,3776,0.8442
394,20:19:32.475,3767,0.8398
395,20:19:32.475,3746,0.8295
396,20:19:32.476,3783,0.8476
397,20:19:32.476,3777,0.8447
398,20:19:32.477,3777,0.8447
399,20:19:32.477,3781,0.8466
400,20:19:32.478,3745,0.8291
401,20:19:32.478,3783,0.8476
402,20:19:32.479,3792,0.8520
403,20:19:32.479,3780,0.8462
404,20:19:32.480,3797,0.8545
405,20:19:32.480,3797,0.8545
406,20:19:32.481,3796,0.8540
407,20:19:32.481,3806,0.8589
408,20:19:32.482,3816,0.8637
409,20:19:32.482,3811,0.8613
410,20:19:32.483,3811,0.8613
411,20:19:32.483,3816,0.8637
412,20:19:32.484,3824,0.8676
413,20:19:32.484,3836,0.8735
414,20:19:32.485,3824,0.8676
415,20:19:32.485,3822,0.8667
416,20:19:32.486,3804,0.8579
417,20:19:32.486,3824,0.8676
418,20:19:32.487,3822,0.8667
419,20:19:32.487,3806,0.8589
420,20:19:32.488,3797,0.8545
421,20:19:32.488,3846,0.8784
422,20:19:32.489,3789,0.8505
423,20:19:32.489,3790,0.8510
424,20:19:32.490,3795,0.8535
425,20:19:32.490,3789,0.8505
426,20:19:32.491,3785,0.8486
427,20:19:32.491,3830,0.8706
428,20:19:32.492,3786,0.8491
429,20:19:32.492,3760,0.8364
430,20:19:32.493,3771,0.8418
431,20:19:32.493,3779,0.8457
432,20:19:32.494,3802,0.8569
433,20:19:32.494,3775,0.8437
434,20:19:32.495,3754,0.8335
435,20:19:32.495,3771,0.8418
436,20:19:32.496,3778,0.8452
437,20:19:32.496,3792,0.8520
438,20:19:32.497,3768,0.8403
439,20:19:32.497,3761,0.8369
440,20:19:32.498,3788,0.8501
441,20:19:32.498,3774,0.8432
442,20:19:32.499,3793,0.8525
443,20:19:32.499,3789,0.8505
444,20:19:32.500,3740,0.8266
445,20:19:32.500,3795,0.8535
446,20:19:32.501,3807,0.8593
447,20:19:32.501,3796,0.8540
448,20:19:32.502,3816,0.8637
449,20:19:32.502,3846,0.8784
450,20:19:32.503,3815,0.8632
451,20:19:32.503,3906,0.9077
452,20:19:32.504,3821,0.8662
453,20:19:32.504,3806,0.8589
454,20:19:32.505,3818,0.8647
455,20:19:32.505,3811,0.8613
456,20:19:32.506,3820,0.8657
457,20:19:32.506,3814,0.8628
458,20:19:32.507,3807,0.8593
459,20:19:32.507,3798,0.8549
460,20:19:32.508,3833,0.8720
461,20:19:32.508,3789,0.8505
462,20:19:32.509,3812,0.8618
463,20:19:32.509,3807,0.8593
464,20:19:32.510,3805,0.8584
465,20:19:32.510,3896,0.9028
466,20:19:32.511,3820,0.8657
467,20:19:32.511,3785,0.8486
468,20:19:32.512,3781,0.8466
469,20:19:32.512,3772,0.8422
470,20:19:32.513,3774,0.8432
471,20:19:32.513,3771,0.8418
472,20:19:32.514,3781,0.8466
