sample_index,real_time_s,raw_adc,amplitude
154,20:40:15.850,3778,0.8452
155,20:40:15.850,3776,0.8442
156,20:40:15.851,3765,0.8388
157,20:40:15.851,3781,0.8466
158,20:40:15.852,3785,0.8486
159,20:40:15.852,3788,0.8501
160,20:40:15.853,3796,0.8540
161,20:40:15.853,3799,0.8554
162,20:40:15.854,3798,0.8549
163,20:40:15.854,3812,0.8618
164,20:40:15.855,3809,0.8603
165,20:40:15.855,3797,0.8545
166,20:40:15.856,3827,0.8691
167,20:40:15.856,3822,0.8667
168,20:40:15.857,3818,0.8647
169,20:40:15.857,3827,0.8691
170,20:40:15.858,3824,0.8676
171,20:40:15.858,3822,0.8667
172,20:40:15.859,3855,0.8828
173,20:40:15.859,3822,0.8667
174,20:40:15.860,3812,0.8618
175,20:40:15.860,3813,0.8623
176,20:40:15.861,3821,0.8662
177,20:40:15.861,3820,0.8657
178,20:40:15.862,3813,0.8623
179,20:40:15.862,3796,0.8540
180,20:40:15.863,3800,0.8559
181,20:40:15.863,3806,0.8589
182,20:40:15.864,3791,0.8515
183,20:40:15.864,3780,0.8462
184,20:40:15.865,3793,0.8525
185,20:40:15.865,3796,0.8540
186,20:40:15.866,3780,0.8462
187,20:40:15.866,3785,0.8486
188,20:40:15.867,3776,0.8442
189,20:40:15.867,3775,0.8437
190,20:40:15.868,3776,0.8442
191,20:40:15.868,3779,0.8457
192,20:40:15.869,3776,0.8442
193,20:40:15.869,3765,0.8388
194,20:40:15.870,3766,0.8393
195,20:40:15.870,3781,0.8466
196,20:40:15.871,3788,0.8501
197,20:40:15.871,3792,0.8520
198,20:40:15.872,3777,0.8447
199,20:40:15.872,3808,0.8598
200,20:40:15.873,3795,0.8535
201,20:40:15.873,3793,0.8525
202,20:40:15.874,3797,0.8545
203,20:40:15.874,3806,0.8589
204,20:40:15.875,3810,0.8608
205,20:40:15.875,3836,0.8735
206,20:40:15.876,3819,0.8652
207,20:40:15.876,3814,0.8628
208,20:40:15.877,3815,0.8632
209,20:40:15.877,3820,0.8657
210,20:40:15.878,3818,0.8647
211,20:40:15.878,3819,0.8652
212,20:40:15.879,3824,0.8676
213,20:40:15.879,3818,0.8647
214,20:40:15.880,3818,0.8647
215,20:40:15.880,3816,0.8637
216,20:40:15.881,3810,0.8608
217,20:40:15.881,3814,0.8628
218,20:40:15.882,3810,0.8608
219,20:40:15.882,3801,0.8564
220,20:40:15.883,3792,0.8520
221,20:40:15.883,3788,0.8501
222,20:40:15.884,3793,0.8525
223,20:40:15.884,3767,0.8398
224,20:40:15.885,3776,0.8442
225,20:40:15.885,3790,0.8510
226,20:40:15.886,3780,0.8462
227,20:40:15.886,3773,0.8427
228,20:40:15.887,3781,0.8466
229,20:40:15.887,3781,0.8466
230,20:40:15.888,3778,0.8452
231,20:40:15.888,3784,0.8481
232,20:40:15.889,3778,0.8452
233,20:40:15.889,3784,0.8481
234,20:40:15.890,3777,0.8447
235,20:40:15.890,3770,0.8413
236,20:40:15.891,3778,0.8452
237,20:40:15.891,3789,0.8505
238,20:40:15.892,3802,0.8569
239,20:40:15.892,3798,0.8549
240,20:40:15.893,3795,0.8535
241,20:40:15.893,3793,0.8525
242,20:40:15.894,3799,0.8554
243,20:40:15.894,3800,0.8559
244,20:40:15.895,3811,0.8613
245,20:40:15.895,3815,0.8632
246,20:40:15.896,3807,0.8593
247,20:40:15.896,3821,0.8662
248,20:40:15.897,3819,0.8652
249,20:40:15.897,3809,0.8603
250,20:40:15.898,3818,0.8647
251,20:40:15.898,3817,0.8642
252,20:40:15.899,3824,0.8676
253,20:40:15.899,3808,0.8598
254,20:40:15.900,3814,0.8628
255,20:40:15.900,3819,0.8652
256,20:40:15.901,3799,0.8554
257,20:40:15.901,3802,0.8569
258,20:40:15.902,3802,0.8569
259,20:40:15.902,3804,0.8579
260,20:40:15.903,3803,0.8574
261,20:40:15.903,3797,0.8545
262,20:40:15.904,3796,0.8540
263,20:40:15.904,3785,0.8486
264,20:40:15.905,3786,0.8491
265,20:40:15.905,3794,0.8530
266,20:40:15.906,3783,0.8476
267,20:40:15.906,3774,0.8432
268,20:40:15.907,3781,0.8466
269,20:40:15.907,3783,0.8476
270,20:40:15.908,3779,0.8457
271,20:40:15.908,3783,0.8476
272,20:40:15.909,3774,0.8432
273,20:40:15.909,3783,0.8476
274,20:40:15.910,3788,0.8501
275,20:40:15.910,3784,0.8481
276,20:40:15.911,3780,0.8462
277,20:40:15.911,3741,0.8271
278,20:40:15.912,3791,0.8515
279,20:40:15.912,3792,0.8520
280,20:40:15.913,3806,0.8589
281,20:40:15.913,3796,0.8540
282,20:40:15.914,3800,0.8559
283,20:40:15.914,3801,0.8564
284,20:40:15.915,3800,0.8559
285,20:40:15.915,3815,0.8632
286,20:40:15.916,3818,0.8647
287,20:40:15.916,3817,0.8642
288,20:40:15.917,3813,0.8623
289,20:40:15.917,3813,0.8623
290,20:40:15.918,3816,0.8637
291,20:40:15.918,3810,0.8608
292,20:40:15.919,3808,0.8598
293,20:40:15.919,3827,0.8691
294,20:40:15.920,3796,0.8540
295,20:40:15.920,3812,0.8618
296,20:40:15.921,3779,0.8457
297,20:40:15.921,3806,0.8589
298,20:40:15.922,3806,0.8589
299,20:40:15.922,3795,0.8535
300,20:40:15.923,3797,0.8545
301,20:40:15.923,3801,0.8564
302,20:40:15.924,3795,0.8535
303,20:40:15.924,3795,0.8535
304,20:40:15.925,3799,0.8554
305,20:40:15.925,3788,0.8501
306,20:40:15.926,3777,0.8447
307,20:40:15.926,3780,0.8462
308,20:40:15.927,3789,0.8505
309,20:40:15.927,3786,0.8491
310,20:40:15.928,3787,0.8496
311,20:40:15.928,3785,0.8486
312,20:40:15.929,3792,0.8520
313,20:40:15.929,3777,0.8447
314,20:40:15.930,3781,0.8466
315,20:40:15.930,3788,0.8501
316,20:40:15.931,3788,0.8501
317,20:40:15.931,3787,0.8496
318,20:40:15.932,3795,0.8535
319,20:40:15.932,3770,0.8413
320,20:40:15.933,3857,0.8838
321,20:40:15.933,3811,0.8613
322,20:40:15.934,3810,0.8608
323,20:40:15.934,3794,0.8530
324,20:40:15.935,3856,0.8833
325,20:40:15.935,3815,0.8632
326,20:40:15.936,3811,0.8613
327,20:40:15.936,3814,0.8628
328,20:40:15.937,3810,0.8608
329,20:40:15.937,3811,0.8613
330,20:40:15.938,3821,0.8662
331,20:40:15.938,3820,0.8657
332,20:40:15.939,3811,0.8613
333,20:40:15.939,3820,0.8657
334,20:40:15.940,3807,0.8593
335,20:40:15.940,3814,0.8628
336,20:40:15.941,3807,0.8593
337,20:40:15.941,3804,0.8579
338,20:40:15.942,3798,0.8549
339,20:40:15.942,3803,0.8574
340,20:40:15.943,3800,0.8559
341,20:40:15.943,3796,0.8540
342,20:40:15.944,3775,0.8437
343,20:40:15.944,3796,0.8540
344,20:40:15.945,3798,0.8549
345,20:40:15.945,3780,0.8462
346,20:40:15.946,3784,0.8481
347,20:40:15.946,3783,0.8476
348,20:40:15.947,3786,0.8491
349,20:40:15.947,3779,0.8457
350,20:40:15.948,3777,0.8447
351,20:40:15.948,3782,0.8471
352,20:40:15.949,3777,0.8447
353,20:40:15.949,3773,0.8427
354,20:40:15.950,3788,0.8501
355,20:40:15.950,3778,0.8452
356,20:40:15.951,3784,0.8481
357,20:40:15.951,3780,0.8462
358,20:40:15.952,3791,0.8515
359,20:40:15.952,3797,0.8545
360,20:40:15.953,3798,0.8549
361,20:40:15.953,3781,0.8466
362,20:40:15.954,3805,0.8584
363,20:40:15.954,3798,0.8549
364,20:40:15.955,3801,0.8564
365,20:40:15.955,3798,0.8549
366,20:40:15.956,3815,0.8632
367,20:40:15.956,3818,0.8647
368,20:40:15.957,3814,0.8628
369,20:40:15.957,3818,0.8647
370,20:40:15.958,3818,0.8647
371,20:40:15.958,3817,0.8642
372,20:40:15.959,3811,0.8613
373,20:40:15.959,3804,0.8579
374,20:40:15.960,3807,0.8593
375,20:40:15.960,3811,0.8613
376,20:40:15.961,3813,0.8623
377,20:40:15.961,3818,0.8647
378,20:40:15.962,3803,0.8574
379,20:40:15.962,3802,0.8569
380,20:40:15.963,3792,0.8520
381,20:40:15.963,3801,0.8564
382,20:40:15.964,3805,0.8584
383,20:40:15.964,3798,0.8549
384,20:40:15.965,3799,0.8554
385,20:40:15.965,3789,0.8505
386,20:40:15.966,3784,0.8481
387,20:40:15.966,3785,0.8486
388,20:40:15.967,3781,0.8466
389,20:40:15.967,3776,0.8442
390,20:40:15.968,3781,0.8466
391,20:40:15.968,3781,0.8466
392,20:40:15.969,3787,0.8496
393,20:40:15.969,3781,0.8466
394,20:40:15.970,3782,0.8471
395,20:40:15.970,3779,0.8457
396,20:40:15.971,3811,0.8613
397,20:40:15.971,3789,0.8505
398,20:40:15.972,3791,0.8515
399,20:40:15.972,3808,0.8598
400,20:40:15.973,3812,0.8618
401,20:40:15.973,3800,0.8559
402,20:40:15.974,3810,0.8608
403,20:40:15.974,3793,0.8525
404,20:40:15.975,3811,0.8613
405,20:40:15.975,3819,0.8652
406,20:40:15.976,3814,0.8628
407,20:40:15.976,3817,0.8642
408,20:40:15.977,3818,0.8647
409,20:40:15.977,3816,0.8637
410,20:40:15.978,3820,0.8657
411,20:40:15.978,3813,0.8623
412,20:40:15.979,3819,0.8652
