Model Architecture,Accuracy,F1 (Macro),F1 (Weighted),Precision (Macro),Recall (Macro),ROC-AUC,PR-AUC,raw_acc,raw_f1,raw_auc
Hybrid (YAMNet + Spectral) + SVM (RBF),95.47% +- 2.18%,94.89% +- 2.39%,95.55% +- 2.11%,93.85% +- 2.70%,96.48% +- 1.70%,0.9959 +- 0.0029,0.9983 +- 0.0012,0.9546881287726359,0.9489308252678355,0.9959288585564096
Hybrid (YAMNet + Spectral) + Gradient Boosting,95.33% +- 2.00%,94.60% +- 2.37%,95.36% +- 2.02%,94.09% +- 2.20%,95.37% +- 2.82%,0.9935 +- 0.0049,0.9974 +- 0.0020,0.9533199195171026,0.9459947949186646,0.9935266476720559
Hybrid (YAMNet + Spectral) + Random Forest,94.90% +- 1.71%,94.18% +- 1.91%,94.96% +- 1.67%,93.51% +- 2.22%,95.32% +- 1.98%,0.9878 +- 0.0058,0.9952 +- 0.0022,0.9490342052313883,0.9417665595009185,0.9878489707571341
YAMNet + PCA + Extra Trees,92.92% +- 2.84%,91.75% +- 3.33%,92.94% +- 2.83%,91.67% +- 3.60%,91.96% +- 3.22%,0.9737 +- 0.0144,0.9893 +- 0.0062,0.9292152917505032,0.9174517761197482,0.9736964672232531
YAMNet + PCA + Gradient Boosting,92.50% +- 2.22%,91.16% +- 2.60%,92.48% +- 2.22%,91.53% +- 2.77%,91.01% +- 2.76%,0.9707 +- 0.0151,0.9883 +- 0.0061,0.924969818913481,0.9116234262226502,0.970703573637247
YAMNet + PCA + Random Forest,92.36% +- 3.53%,91.13% +- 4.11%,92.39% +- 3.52%,90.92% +- 4.20%,91.57% +- 4.16%,0.9714 +- 0.0117,0.9885 +- 0.0048,0.9235814889336016,0.9113048178016385,0.9713617589893101
YAMNet + PCA + SVM (RBF),90.39% +- 2.78%,88.29% +- 3.67%,90.18% +- 2.98%,90.02% +- 2.99%,87.37% +- 4.45%,0.9665 +- 0.0191,0.9844 +- 0.0145,0.9039235412474849,0.88294397086378,0.9665449134199134
YAMNet + PCA + k-NN (k=5),88.83% +- 2.97%,86.22% +- 3.93%,88.51% +- 3.19%,88.53% +- 3.23%,84.97% +- 4.80%,0.9370 +- 0.0269,0.9546 +- 0.0217,0.8883299798792758,0.8622039809757405,0.9369816514268047
YAMNet + PCA + Logistic Regression,84.03% +- 3.05%,78.68% +- 4.79%,82.74% +- 3.70%,85.68% +- 3.47%,76.45% +- 5.14%,0.9120 +- 0.0315,0.9479 +- 0.0283,0.8402816901408452,0.7868055987177639,0.9120394911211237
YAMNet + Distance Anomaly Detector (Calibrated),54.86% +- 6.14%,54.68% +- 5.90%,54.92% +- 6.58%,63.21% +- 4.96%,63.41% +- 5.31%,0.7079 +- 0.0371,0.8436 +- 0.0298,0.5486116700201207,0.5467990874267541,0.7078674408074918
